"ARCHWAY HOME STYLE COOKIES,CHY FILLED",4.01,401.0
"ARCHWAY HOME STYLE COOKIES,CINN APPL",4.08,408.0
"ARCHWAY HOME STYLE COOKIES,COCNT MACAROON",4.82,482.0
"ARCHWAY HOME STYLE COOKIES,COOKIES JAR HERMITS",3.80,380.0
"ARCHWAY HOME STYLE COOKIES,DATE FILLED OATMEAL",3.95,395.0
"ARCHWAY HOME STYLE COOKIES,DK MOLASSES",4.11,411.0
"ARCHWAY HOME STYLE COOKIES,DUTCH COCOA",4.10,410.0
"ARCHWAY HOME STYLE COOKIES,FAT FREE CINN HONEY HEARTS",3.52,352.0
"ARCHWAY HOME STYLE COOKIES,FAT FREE DEVIL'S FD COOKIE",3.38,338.0
"ARCHWAY HOME STYLE COOKIES,FAT FREE LEMON NUGGETS",3.58,358.0
"ARCHWAY HOME STYLE COOKIES,FAT FREE OATMEAL RAISIN",3.43,343.0
"ARCHWAY HOME STYLE COOKIES,FAT FREE OATMEAL RASPBY",3.51,351.0
"ARCHWAY HOME STYLE COOKIES,FAT FREE SUGAR COOKIES",3.54,354.0
"ARCHWAY HOME STYLE COOKIES,FROSTY LEMON",4.30,430.0
"ARCHWAY HOME STYLE COOKIES,FROSTY ORANGE",4.34,434.0
"ARCHWAY HOME STYLE COOKIES,FRUIT&HONEY BAR",3.98,398.0
"ARCHWAY HOME STYLE COOKIES,GOURMET APPLE'N RAISIN",4.25,425.0
"ARCHWAY HOME STYLE COOKIES,GOURMET CARROT CAKE",4.30,430.0
"ARCHWAY HOME STYLE COOKIES,GOURMET CHOC CHIP N' TOFFEE",4.68,468.0
"ARCHWAY HOME STYLE COOKIES,GOURMET OATMEAL PECAN",4.77,477.0
"ARCHWAY HOME STYLE COOKIES,GOURMET OL'FASHION PNUT BUTTER",4.69,469.0
"ARCHWAY HOME STYLE COOKIES,GOURMET ROCKY ROAD",4.55,455.0
"ARCHWAY HOME STYLE COOKIES,GOURMET RUTH'S GOLDEN OATMEAL",4.34,434.0
"ARCHWAY HOME STYLE COOKIES,ICED GINGER SNAPS",4.66,466.0
"ARCHWAY HOME STYLE COOKIES,ICED MOLASSES",4.07,407.0
"ARCHWAY HOME STYLE COOKIES,ICED OATMEAL",4.39,439.0
"ARCHWAY HOME STYLE COOKIES,LEMON DROP",3.89,389.0
"ARCHWAY HOME STYLE COOKIES,LEMON SNAPS",4.89,489.0
"ARCHWAY HOME STYLE COOKIES,MOLASSES",3.98,398.0
"ARCHWAY HOME STYLE COOKIES,MUD PIE",4.29,429.0
"ARCHWAY HOME STYLE COOKIES,OATMEAL",4.24,424.0
"ARCHWAY HOME STYLE COOKIES,OATMEAL RAISIN",4.10,410.0
